Time: 08:50:23.444651| SYSTEM   | Connect events done
Time: 09:00:18.656239| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:18.756198| SENSOR   | Servo safran value received: 200.0
Time: 09:00:18.759636| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:18.857712| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:18.862196| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:18.958686| SENSOR   | Servo voile value received: 113.0
Time: 09:00:19.372253| DEBUG    | func: 9| mode: 1| size: 12| data: update (58s)
Time: 09:00:19.461265| LOG      | [INFO]: received: update (58s)
Time: 09:00:19.474592| DEBUG    | func: 6| mode: 1| size: 4| data: 301.9
Time: 09:00:19.562281| SENSOR   | Yaw value received: 301.9
Time: 09:00:19.564310| SYSTEM   | Changed compass orientation
Time: 09:00:19.577874| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:19.665684| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:19.678647| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:19.766145| SENSOR   | Servo voile value received: 150.0
Time: 09:00:19.782107| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:19.866995| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:19.885290| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:19.968269| SENSOR   | Servo safran value received: 103.0
Time: 09:00:20.493943| DEBUG    | func: 9| mode: 1| size: 12| data: update (59s)
Time: 09:00:20.571940| LOG      | [INFO]: received: update (59s)
Time: 09:00:20.594888| DEBUG    | func: 6| mode: 1| size: 4| data: 302.0
Time: 09:00:20.673122| SENSOR   | Yaw value received: 302.0
Time: 09:00:20.675115| SYSTEM   | Changed compass orientation
Time: 09:00:20.699411| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:20.776302| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:20.802629| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:20.877414| SENSOR   | Servo safran value received: 200.0
Time: 09:00:20.904724| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:20.978223| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:21.005932| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:21.079313| SENSOR   | Servo voile value received: 113.0
Time: 09:00:21.615885| DEBUG    | func: 9| mode: 1| size: 12| data: update (60s)
Time: 09:00:21.683754| LOG      | [INFO]: received: update (60s)
Time: 09:00:21.718084| DEBUG    | func: 6| mode: 1| size: 4| data: 302.0
Time: 09:00:21.784762| SENSOR   | Yaw value received: 302.0
Time: 09:00:21.786759| SYSTEM   | Changed compass orientation
Time: 09:00:21.820035| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:21.887427| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:21.922301| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:21.988738| SENSOR   | Servo voile value received: 150.0
Time: 09:00:22.023408| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:22.089005| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:22.126107| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:22.189602| SENSOR   | Servo safran value received: 103.0
Time: 09:00:22.736057| DEBUG    | func: 9| mode: 1| size: 12| data: update (62s)
Time: 09:00:22.791964| LOG      | [INFO]: received: update (62s)
Time: 09:00:22.837114| DEBUG    | func: 6| mode: 1| size: 4| data: 302.0
Time: 09:00:22.893015| SENSOR   | Yaw value received: 302.0
Time: 09:00:22.895012| SYSTEM   | Changed compass orientation
Time: 09:00:22.940420| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:22.995962| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:23.042818| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:23.097056| SENSOR   | Servo safran value received: 200.0
Time: 09:00:23.146863| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:23.197834| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:23.249592| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:23.298328| SENSOR   | Servo voile value received: 113.0
Time: 09:00:23.859867| DEBUG    | func: 9| mode: 1| size: 12| data: update (63s)
Time: 09:00:23.901811| LOG      | [INFO]: received: update (63s)
Time: 09:00:23.962834| DEBUG    | func: 6| mode: 1| size: 4| data: 302.0
Time: 09:00:24.002942| SENSOR   | Yaw value received: 302.0
Time: 09:00:24.004939| SYSTEM   | Changed compass orientation
Time: 09:00:24.065896| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:24.106512| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:24.168999| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:24.207962| SENSOR   | Servo voile value received: 150.0
Time: 09:00:24.270534| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:24.308598| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:24.372385| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:24.409676| SENSOR   | Servo safran value received: 103.0
Time: 09:00:24.983322| DEBUG    | func: 9| mode: 1| size: 12| data: update (64s)
Time: 09:00:25.014000| LOG      | [INFO]: received: update (64s)
Time: 09:00:25.086893| DEBUG    | func: 6| mode: 1| size: 4| data: 302.0
Time: 09:00:25.115040| SENSOR   | Yaw value received: 302.0
Time: 09:00:25.117063| SYSTEM   | Changed compass orientation
Time: 09:00:25.188678| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:25.218261| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:25.291820| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:25.319171| SENSOR   | Servo safran value received: 200.0
Time: 09:00:25.394570| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:25.419365| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:25.497303| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:25.519815| SENSOR   | Servo voile value received: 113.0
Time: 09:00:26.105181| DEBUG    | func: 9| mode: 1| size: 12| data: update (65s)
Time: 09:00:26.122543| LOG      | [INFO]: received: update (65s)
Time: 09:00:26.208149| DEBUG    | func: 6| mode: 1| size: 4| data: 302.6
Time: 09:00:26.224392| SENSOR   | Yaw value received: 302.6
Time: 09:00:26.225962| SYSTEM   | Changed compass orientation
Time: 09:00:26.311244| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:26.327642| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:26.412649| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:26.428368| SENSOR   | Servo voile value received: 150.0
Time: 09:00:26.516030| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:26.529117| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:26.618939| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:26.630202| SENSOR   | Servo safran value received: 103.0
Time: 09:00:27.126290| DEBUG    | func: 9| mode: 1| size: 12| data: update (66s)
Time: 09:00:27.133740| LOG      | [INFO]: received: update (66s)
Time: 09:00:27.228615| DEBUG    | func: 6| mode: 1| size: 4| data: 301.0
Time: 09:00:27.234817| SENSOR   | Yaw value received: 301.0
Time: 09:00:27.237840| SYSTEM   | Changed compass orientation
Time: 09:00:27.331922| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:27.338469| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:27.434391| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:27.439410| SENSOR   | Servo safran value received: 200.0
Time: 09:00:27.536776| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:27.539726| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:27.639105| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:27.641113| SENSOR   | Servo voile value received: 113.0
Time: 09:00:28.248835| DEBUG    | func: 9| mode: 1| size: 12| data: update (67s)
Time: 09:00:28.345806| LOG      | [INFO]: received: update (67s)
Time: 09:00:28.351650| DEBUG    | func: 6| mode: 1| size: 4| data: 300.4
Time: 09:00:28.447022| SENSOR   | Yaw value received: 300.4
Time: 09:00:28.448661| SYSTEM   | Changed compass orientation
Time: 09:00:28.455132| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:28.550282| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:28.558736| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:28.651566| SENSOR   | Servo voile value received: 150.0
Time: 09:00:28.662071| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:28.752036| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:28.765137| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:28.852940| SENSOR   | Servo safran value received: 103.0
Time: 09:00:29.376094| DEBUG    | func: 9| mode: 1| size: 12| data: update (68s)
Time: 09:00:29.456102| LOG      | [INFO]: received: update (68s)
Time: 09:00:29.478555| DEBUG    | func: 6| mode: 1| size: 4| data: 298.3
Time: 09:00:29.557328| SENSOR   | Yaw value received: 298.3
Time: 09:00:29.559323| SYSTEM   | Changed compass orientation
Time: 09:00:29.579439| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:29.660667| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:29.683178| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:29.761768| SENSOR   | Servo safran value received: 200.0
Time: 09:00:29.786189| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:29.862639| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:29.888423| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:29.963692| SENSOR   | Servo voile value received: 113.0
Time: 09:00:30.498520| DEBUG    | func: 9| mode: 1| size: 12| data: update (69s)
Time: 09:00:30.567459| LOG      | [INFO]: received: update (69s)
Time: 09:00:30.599612| DEBUG    | func: 6| mode: 1| size: 4| data: 297.8
Time: 09:00:30.669215| SENSOR   | Yaw value received: 297.8
Time: 09:00:30.670839| SYSTEM   | Changed compass orientation
Time: 09:00:30.702330| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:30.772593| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:30.804240| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:30.874177| SENSOR   | Servo voile value received: 150.0
Time: 09:00:30.908056| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:30.975268| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:31.011243| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:31.076387| SENSOR   | Servo safran value received: 103.0
Time: 09:00:31.621216| DEBUG    | func: 9| mode: 1| size: 12| data: update (70s)
Time: 09:00:31.680452| LOG      | [INFO]: received: update (70s)
Time: 09:00:31.724291| DEBUG    | func: 6| mode: 1| size: 4| data: 297.6
Time: 09:00:31.781465| SENSOR   | Yaw value received: 297.6
Time: 09:00:31.783489| SYSTEM   | Changed compass orientation
Time: 09:00:31.825646| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:31.884588| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:31.929033| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:31.985687| SENSOR   | Servo safran value received: 200.0
Time: 09:00:32.032187| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:32.086100| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:32.135632| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:32.187094| SENSOR   | Servo voile value received: 113.0
Time: 09:00:32.743447| DEBUG    | func: 9| mode: 1| size: 12| data: update (72s)
Time: 09:00:32.789914| LOG      | [INFO]: received: update (72s)
Time: 09:00:32.846729| DEBUG    | func: 6| mode: 1| size: 4| data: 297.8
Time: 09:00:32.891227| SENSOR   | Yaw value received: 297.8
Time: 09:00:32.892844| SYSTEM   | Changed compass orientation
Time: 09:00:32.949540| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:32.994477| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:33.052507| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:33.095537| SENSOR   | Servo voile value received: 150.0
Time: 09:00:33.154522| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:33.196030| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:33.257025| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:33.297004| SENSOR   | Servo safran value received: 103.0
Time: 09:00:33.866290| DEBUG    | func: 9| mode: 1| size: 12| data: update (73s)
Time: 09:00:33.901873| LOG      | [INFO]: received: update (73s)
Time: 09:00:33.968704| DEBUG    | func: 6| mode: 1| size: 4| data: 302.1
Time: 09:00:34.002559| SENSOR   | Yaw value received: 302.1
Time: 09:00:34.004177| SYSTEM   | Changed compass orientation
Time: 09:00:34.071530| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:34.105885| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:34.174407| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:34.207271| SENSOR   | Servo safran value received: 200.0
Time: 09:00:34.275208| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:34.307956| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:34.379142| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:34.409044| SENSOR   | Servo voile value received: 113.0
Time: 09:00:34.887359| DEBUG    | func: 9| mode: 1| size: 12| data: update (74s)
Time: 09:00:34.912665| LOG      | [INFO]: received: update (74s)
Time: 09:00:34.988984| DEBUG    | func: 6| mode: 1| size: 4| data: 302.1
Time: 09:00:35.013070| SENSOR   | Yaw value received: 302.1
Time: 09:00:35.016065| SYSTEM   | Changed compass orientation
Time: 09:00:35.091856| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:35.117065| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:35.194713| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:35.218070| SENSOR   | Servo voile value received: 150.0
Time: 09:00:35.297589| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:35.318811| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:35.400251| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:35.420472| SENSOR   | Servo safran value received: 103.0
Time: 09:00:36.009686| DEBUG    | func: 9| mode: 1| size: 12| data: update (75s)
Time: 09:00:36.025514| LOG      | [INFO]: received: update (75s)
Time: 09:00:36.112337| DEBUG    | func: 6| mode: 1| size: 4| data: 302.2
Time: 09:00:36.126231| SENSOR   | Yaw value received: 302.2
Time: 09:00:36.128228| SYSTEM   | Changed compass orientation
Time: 09:00:36.214584| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:36.229567| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:36.317913| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:36.330782| SENSOR   | Servo safran value received: 200.0
Time: 09:00:36.421082| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:36.432079| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:36.524313| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:36.533724| SENSOR   | Servo voile value received: 113.0
Time: 09:00:37.134307| DEBUG    | func: 9| mode: 1| size: 12| data: update (76s)
Time: 09:00:37.137436| LOG      | [INFO]: received: update (76s)
Time: 09:00:37.237011| DEBUG    | func: 6| mode: 1| size: 4| data: 302.4
Time: 09:00:37.238665| SENSOR   | Yaw value received: 302.4
Time: 09:00:37.240660| SYSTEM   | Changed compass orientation
Time: 09:00:37.338793| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:37.341791| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:37.441357| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:37.442308| SENSOR   | Servo voile value received: 150.0
Time: 09:00:37.544597| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:37.643626| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:37.645188| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:37.744723| SENSOR   | Servo safran value received: 103.0
Time: 09:00:38.253857| DEBUG    | func: 9| mode: 1| size: 12| data: update (77s)
Time: 09:00:38.348500| LOG      | [INFO]: received: update (77s)
Time: 09:00:38.357301| DEBUG    | func: 6| mode: 1| size: 4| data: 301.9
Time: 09:00:38.449629| SENSOR   | Yaw value received: 301.9
Time: 09:00:38.451654| SYSTEM   | Changed compass orientation
Time: 09:00:38.460479| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:38.552880| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:38.562964| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:38.653995| SENSOR   | Servo safran value received: 200.0
Time: 09:00:38.666529| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:38.755450| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:38.769267| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:38.856072| SENSOR   | Servo voile value received: 113.0
Time: 09:00:39.378153| DEBUG    | func: 9| mode: 1| size: 12| data: update (78s)
Time: 09:00:39.460374| LOG      | [INFO]: received: update (78s)
Time: 09:00:39.480117| DEBUG    | func: 6| mode: 1| size: 4| data: 301.7
Time: 09:00:39.561651| SENSOR   | Yaw value received: 301.7
Time: 09:00:39.563272| SYSTEM   | Changed compass orientation
Time: 09:00:39.582392| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:39.664672| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:39.685165| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:39.765805| SENSOR   | Servo voile value received: 150.0
Time: 09:00:39.787708| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:39.866542| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:39.891157| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:39.967660| SENSOR   | Servo safran value received: 103.0
Time: 09:00:40.501364| DEBUG    | func: 9| mode: 1| size: 12| data: update (79s)
Time: 09:00:40.572415| LOG      | [INFO]: received: update (79s)
Time: 09:00:40.602963| DEBUG    | func: 6| mode: 1| size: 4| data: 301.7
Time: 09:00:40.674203| SENSOR   | Yaw value received: 301.7
Time: 09:00:40.675761| SYSTEM   | Changed compass orientation
Time: 09:00:40.704584| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:40.777371| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:40.808171| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:40.878159| SENSOR   | Servo safran value received: 200.0
Time: 09:00:40.909883| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:40.978868| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:41.011570| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:41.079872| SENSOR   | Servo voile value received: 113.0
Time: 09:00:41.525773| DEBUG    | func: 9| mode: 1| size: 12| data: update (80s)
Time: 09:00:41.582813| LOG      | [INFO]: received: update (80s)
Time: 09:00:41.628803| DEBUG    | func: 6| mode: 1| size: 4| data: 300.8
Time: 09:00:41.683394| SENSOR   | Yaw value received: 300.8
Time: 09:00:41.685391| SYSTEM   | Changed compass orientation
Time: 09:00:41.731519| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:41.786628| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:41.834724| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:41.887688| SENSOR   | Servo voile value received: 150.0
Time: 09:00:41.938469| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:41.988785| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:42.040841| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:42.090366| SENSOR   | Servo safran value received: 103.0
Time: 09:00:42.651173| DEBUG    | func: 9| mode: 1| size: 12| data: update (81s)
Time: 09:00:42.694812| LOG      | [INFO]: received: update (81s)
Time: 09:00:42.753539| DEBUG    | func: 6| mode: 1| size: 4| data: 300.8
Time: 09:00:42.795519| SENSOR   | Yaw value received: 300.8
Time: 09:00:42.797517| SYSTEM   | Changed compass orientation
Time: 09:00:42.857168| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:42.898752| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:42.960283| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:42.999990| SENSOR   | Servo safran value received: 200.0
Time: 09:00:43.063479| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:43.100737| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:43.166777| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:43.201293| SENSOR   | Servo voile value received: 113.0
Time: 09:00:43.775604| DEBUG    | func: 9| mode: 1| size: 12| data: update (83s)
Time: 09:00:43.806279| LOG      | [INFO]: received: update (83s)
Time: 09:00:43.877109| DEBUG    | func: 6| mode: 1| size: 4| data: 300.3
Time: 09:00:43.907030| SENSOR   | Yaw value received: 300.3
Time: 09:00:43.909024| SYSTEM   | Changed compass orientation
Time: 09:00:43.978837| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:44.010732| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:44.080545| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:44.111482| SENSOR   | Servo voile value received: 150.0
Time: 09:00:44.183878| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:44.211577| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:44.287123| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:44.312707| SENSOR   | Servo safran value received: 103.0
Time: 09:00:44.898067| DEBUG    | func: 9| mode: 1| size: 12| data: update (84s)
Time: 09:00:44.916696| LOG      | [INFO]: received: update (84s)
Time: 09:00:45.000676| DEBUG    | func: 6| mode: 1| size: 4| data: 300.3
Time: 09:00:45.017527| SENSOR   | Yaw value received: 300.3
Time: 09:00:45.019524| SYSTEM   | Changed compass orientation
Time: 09:00:45.103873| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 09:00:45.120566| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 09:00:45.205413| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 09:00:45.221513| SENSOR   | Servo safran value received: 200.0
Time: 09:00:45.307598| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 09:00:45.322268| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 09:00:45.410248| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 09:00:45.423325| SENSOR   | Servo voile value received: 113.0
Time: 09:00:46.018664| DEBUG    | func: 9| mode: 1| size: 12| data: update (85s)
Time: 09:00:46.026265| LOG      | [INFO]: received: update (85s)
Time: 09:00:46.120507| DEBUG    | func: 6| mode: 1| size: 4| data: 300.0
Time: 09:00:46.126851| SENSOR   | Yaw value received: 300.0
Time: 09:00:46.128876| SYSTEM   | Changed compass orientation
Time: 09:00:46.223682| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 09:00:46.230577| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 09:00:46.327038| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 09:00:46.331470| SENSOR   | Servo voile value received: 150.0
Time: 09:00:46.429282| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 09:00:46.432456| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 09:00:46.533199| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 09:00:46.633911| SENSOR   | Servo safran value received: 103.0
Time: 09:00:47.140325| DEBUG    | func: 9| mode: 1| size: 12| data: update (86s)
Time: 09:00:47.237427| LOG      | [INFO]: received: update (86s)
Time: 09:00:47.242855| DEBUG    | func: 6| mode: 1| size: 4| data: 301.2
Time: 09:00:47.338461| SENSOR   | Yaw value received: 301.2
Time: 09:00:47.340480| SYSTEM   | Changed compass orientation
